Rank,Airline,Airline Score
1,Etihad Airways,8.43
2,Qatar Airways,8.23
3,ANA,8.2
4,Singapore Airlines,8.1
5,Qantas,8.04
6,Latam Airlines,8.01
7,Aegean Airlines,8
8,norwegian,8
9,Cathay Pacific,8
10,Wizz Air,7.95
11,flybe,7.94
12,Emirates,7.91
13,Austrian Airlines ,7.9
14,Transavia.com,7.88
15,South African Air.,7.8
16,Iberia,7.8
17,Garuda Indonesia,7.8
18,Luxair,7.78
19,City Jet,7.77
20,LOT Polish Airlines,7.75
21,KLM,7.74
22,British Airways,7.7
23,Air Europe,7.7
24,Eurowings,7.7
25,Virgin Atlantic,7.69
26,Croatia Airlines,7.69
27,SAS Scandinavian,7.67
28,United Airlines,7.66
29,Delta Air Lines,7.65
30,Turkish Airlines,7.63
31,Air Malta,7.6
32,Air France,7.6
33,American Airlines,7.57
34,Aeromexico,7.57
35,Oman Air,7.57
36,Lufthansa,7.52
37,Ukraine International Airlines,7.42
38,Westjet,7.39
39,Air Baltic Corporation,7.37
40,Air Transat ATInc.,7.37
41,Icelandair,7.36
42,Garuda Indonesia,7.36
43,Brussels Airlines,7.33
44,China Southern,7.3
45,Kenya Airways,7.29
46,Tarom,7.29
47,El Al Israel Air.,7.24
48,Thomas Cook Airlines,7.23
49,Adria Airways,7.23
50,Aeroflot,7.17
51,Swiss,7.12
52,Air India,7.1
53,Vueling Airlines,7.09
54,Air Dolomiti,7.05
55,Air Canada,7.05
56,Air New Zealand ,7
57,Malaysia Airlines,7
58,Thai Airways,6.9
59,Ethiopian Air.,6.87
60,Aer Lingus,6.81
61,Czech Airlines,6.81
62,Kuwait Airways,6.66
63,Saudi Arabian Air.,6.65
64,Finnair,6.6
65,Avianca,6.55
66,Asiana Airlines,6.41
67,Jet2.com,6.37
68,Alaska Airlines ,6.35
69,Jet Airways,6.2
70,Tap Portugal,6.04
71,Ryanair,6.03
72,RAM ,5.99
73,Aero Argentinas,5.97
74,Easyjet,5.66
75,Philippine Airlines,5.5
76,Korean Air,5.49
77,Pakistan Intl.,5.43
78,Royal Jordanian Airlines,5.13
79,WOW Air,5.04
80,COPA,5
81,Southwest Air.,5
82,Egyptair,4.98