Year,Airline,Incidents,Fatal_Accidents,Fatalities
1985-1999,Aer Lingus,2,0,0
1985-1999,Aeroflot,76,14,128
1985-1999,Aero Argentinas,6,0,0
1985-1999,Aeromexico,3,1,64
1985-1999,Air Canada,2,0,0
1985-1999,Air France,14,4,79
1985-1999,Air India,2,1,329
1985-1999,Air New Zealand,3,0,0
1985-1999,Alaska Airlines,5,0,0
1985-1999,Air Dolomiti,7,2,50
1985-1999,ANA,3,1,1
1985-1999,American Airlines,21,5,101
1985-1999,Austrian Airlines,1,0,0
1985-1999,Avianca,5,3,323
1985-1999,British Airways,4,0,0
1985-1999,Cathay Pacific,0,0,0
1985-1999,China Southern,12,6,535
1985-1999,COPA,3,1,47
1985-1999,Delta Air Lines,24,12,407
1985-1999,Egyptair,8,3,282
1985-1999,El Al Israel Air.,1,1,4
1985-1999,Ethiopian Air.,25,5,167
1985-1999,Finnair,1,0,0
1985-1999,Garuda Indonesia,10,3,260
1985-1999,Iberia,4,1,148
1985-1999,Kenya Airways,2,0,0
1985-1999,KLM,7,1,3
1985-1999,Korean Air,12,5,425
1985-1999,Latam Airlines,11,5,119
1985-1999,Lufthansa,6,1,2
1985-1999,Malaysia Airlines,3,1,34
1985-1999,Pakistan Intl.,8,3,234
1985-1999,Philippine Airlines,7,4,74
1985-1999,Qantas,1,0,0
1985-1999,RAM,5,3,51
1985-1999,SAS Scandinavian,5,0,0
1985-1999,Saudi Arabian Air.,7,2,313
1985-1999,Singapore Airlines,2,2,6
1985-1999,South African Air.,2,1,159
1985-1999,Southwest Air.,1,0,0
1985-1999,Swiss,2,1,229
1985-1999,Tap Portugal,0,0,0
1985-1999,Thai Airways,8,4,308
1985-1999,Turkish Airlines,8,3,64
1985-1999,United Airlines,19,8,319
1985-1999,Virgin Atlantic,1,0,0
2000-2014,Aer Lingus,0,0,0
2000-2014,Aeroflot,6,1,88
2000-2014,Aero Argentinas,1,0,0
2000-2014,Aeromexico,5,0,0
2000-2014,Air Canada,2,0,0
2000-2014,Air France,6,2,337
2000-2014,Air India,4,1,158
2000-2014,Air New Zealand,5,1,7
2000-2014,Alaska Airlines,5,1,88
2000-2014,Air Dolomiti,4,0,0
2000-2014,ANA,7,0,0
2000-2014,American Airlines,17,3,416
2000-2014,Austrian Airlines,1,0,0
2000-2014,Avianca,0,0,0
2000-2014,British Airways,6,0,0
2000-2014,Cathay Pacific,2,0,0
2000-2014,China Southern,2,1,225
2000-2014,COPA,0,0,0
2000-2014,Delta Air Lines,24,2,51
2000-2014,Egyptair,4,1,14
2000-2014,El Al Israel Air.,1,0,0
2000-2014,Ethiopian Air.,5,2,92
2000-2014,Finnair,0,0,0
2000-2014,Garuda Indonesia,4,2,22
2000-2014,Iberia,5,0,0
2000-2014,Kenya Airways,2,2,283
2000-2014,KLM,1,0,0
2000-2014,Korean Air,1,0,0
2000-2014,Latam Airlines,7,2,188
2000-2014,Lufthansa,3,0,0
2000-2014,Malaysia Airlines,3,2,537
2000-2014,Pakistan Intl.,10,2,46
2000-2014,Philippine Airlines,2,1,1
2000-2014,Qantas,5,0,0
2000-2014,RAM,3,0,0
2000-2014,SAS Scandinavian,6,1,110
2000-2014,Saudi Arabian Air.,11,0,0
2000-2014,Singapore Airlines,2,1,83
2000-2014,South African Air.,1,0,0
2000-2014,Southwest Air.,8,0,0
2000-2014,Swiss,3,0,0
2000-2014,Tap Portugal,0,0,0
2000-2014,Thai Airways,2,1,1
2000-2014,Turkish Airlines,8,2,84
2000-2014,United Airlines,14,2,109
2000-2014,Virgin Atlantic,0,0,0